Date,Client Name,Legal Entity,Received Amount,Delivered Amount,Net Amount
2013-10-01,BNY Mellon,CitiBank HongKong,51745,74737,-22992
2013-11-01,BNY Mellon,CitiBank HongKong,57291,78612,-21321
2013-12-01,BNY Mellon,CitiBank HongKong,58732,74711,-15979
2014-01-01,BNY Mellon,CitiBank HongKong,51597,76458,-24861
2014-02-01,BNY Mellon,CitiBank HongKong,55213,71176,-15963
2014-03-01,BNY Mellon,CitiBank HongKong,62861,72547,-9686
2014-04-01,BNY Mellon,CitiBank HongKong,65815,72216,-6401
2014-05-01,BNY Mellon,CitiBank HongKong,61253,78268,-17015
2014-06-01,BNY Mellon,CitiBank HongKong,63365,77778,-14413
2014-07-01,BNY Mellon,CitiBank HongKong,66218,77359,-11141
2014-08-01,BNY Mellon,CitiBank HongKong,66994,78444,-11450
2014-09-01,BNY Mellon,CitiBank HongKong,68235,78133,-9898
2014-10-01,BNY Mellon,CitiBank HongKong,63685,77318,-13633
2014-11-01,BNY Mellon,CitiBank HongKong,68588,72668,-4080
2014-12-01,BNY Mellon,CitiBank HongKong,68548,71556,-3008
2015-01-01,BNY Mellon,CitiBank HongKong,71489,61183,10306
2015-02-01,BNY Mellon,CitiBank HongKong,77893,65127,12766
2015-03-01,BNY Mellon,CitiBank HongKong,77445,65919,11526
2015-04-01,BNY Mellon,CitiBank HongKong,72544,65828,6716
2015-05-01,BNY Mellon,CitiBank HongKong,74338,65836,8502
2015-06-01,BNY Mellon,CitiBank HongKong,73249,64852,8397
2015-07-01,BNY Mellon,CitiBank HongKong,76923,61386,15537
2015-08-01,BNY Mellon,CitiBank HongKong,75921,63237,12684
2015-09-01,BNY Mellon,CitiBank HongKong,73916,65821,8095
2015-10-01,BNY Mellon,CitiBank HongKong,77192,62615,14577
2015-11-01,BNY Mellon,CitiBank HongKong,83914,64567,19347
2015-12-01,BNY Mellon,CitiBank HongKong,82893,65936,16957
2016-01-01,BNY Mellon,CitiBank HongKong,82852,67272,15580
2016-02-01,BNY Mellon,CitiBank HongKong,85919,65269,20650
2016-03-01,BNY Mellon,CitiBank HongKong,89697,62431,27266
2016-04-01,BNY Mellon,CitiBank HongKong,88548,68449,20099
2016-05-01,BNY Mellon,CitiBank HongKong,86125,63415,22710
2016-06-01,BNY Mellon,CitiBank HongKong,84845,66252,18593
2016-07-01,BNY Mellon,CitiBank HongKong,87193,69431,17762
2016-08-01,BNY Mellon,CitiBank HongKong,86457,62779,23678
2016-09-01,BNY Mellon,CitiBank HongKong,94787,57269,37518
2016-10-01,BNY Mellon,CitiBank HongKong,98525,56745,41780
2016-11-01,BNY Mellon,CitiBank HongKong,91617,51154,40463
2016-12-01,BNY Mellon,CitiBank HongKong,94322,54995,39327
2017-01-01,BNY Mellon,CitiBank HongKong,96199,55918,40281
2017-02-01,BNY Mellon,CitiBank HongKong,96611,55487,41124
2017-03-01,BNY Mellon,CitiBank HongKong,94532,54679,39853
2017-04-01,BNY Mellon,CitiBank HongKong,97345,52597,44748
2017-05-01,BNY Mellon,CitiBank HongKong,92599,54276,38323
2017-06-01,BNY Mellon,CitiBank HongKong,93712,58978,34734
2017-07-01,BNY Mellon,CitiBank HongKong,103631,54825,48806
2017-08-01,BNY Mellon,CitiBank HongKong,102177,57777,44400
2017-09-01,BNY Mellon,CitiBank HongKong,109765,59631,50134
2017-10-01,BNY Mellon,CitiBank HongKong,104473,55533,48940
2017-11-01,BNY Mellon,CitiBank HongKong,109133,57235,51898
2017-12-01,BNY Mellon,CitiBank HongKong,104259,54426,49833
2018-01-01,BNY Mellon,CitiBank HongKong,108978,56578,52400
2018-02-01,BNY Mellon,CitiBank HongKong,106446,51466,54980
2018-03-01,BNY Mellon,CitiBank HongKong,106898,58118,48780
2018-04-01,BNY Mellon,CitiBank HongKong,106936,53247,53689
2010-01-01,Goldman Sachs,CitiBank New York,15299,91578,-76279
2010-02-01,Goldman Sachs,CitiBank New York,16386,93959,-77573
2010-03-01,Goldman Sachs,CitiBank New York,15573,98896,-83323
2010-04-01,Goldman Sachs,CitiBank New York,13875,97249,-83374
2010-05-01,Goldman Sachs,CitiBank New York,16514,95955,-79441
2010-06-01,Goldman Sachs,CitiBank New York,16319,99621,-83302
2010-07-01,Goldman Sachs,CitiBank New York,16532,99845,-83313
2010-08-01,Goldman Sachs,CitiBank New York,16385,92911,-76526
2010-09-01,Goldman Sachs,CitiBank New York,11144,94796,-83652
2010-10-01,Goldman Sachs,CitiBank New York,13524,97968,-84444
2010-11-01,Goldman Sachs,CitiBank New York,27414,98245,-70831
2010-12-01,Goldman Sachs,CitiBank New York,26217,99615,-73398
2011-01-01,Goldman Sachs,CitiBank New York,24493,98949,-74456
2011-02-01,Goldman Sachs,CitiBank New York,24275,94751,-70476
2011-03-01,Goldman Sachs,CitiBank New York,27289,91671,-64382
2011-04-01,Goldman Sachs,CitiBank New York,23784,98599,-74815
2011-05-01,Goldman Sachs,CitiBank New York,22583,99781,-77198
2011-06-01,Goldman Sachs,CitiBank New York,25889,99881,-73992
2011-07-01,Goldman Sachs,CitiBank New York,26838,98547,-71709
2011-08-01,Goldman Sachs,CitiBank New York,22592,96316,-73724
2011-09-01,Goldman Sachs,CitiBank New York,31993,87646,-55653
2011-10-01,Goldman Sachs,CitiBank New York,34439,83429,-48990
2011-11-01,Goldman Sachs,CitiBank New York,35529,82961,-47432
2011-12-01,Goldman Sachs,CitiBank New York,34278,85649,-51371
2012-01-01,Goldman Sachs,CitiBank New York,34116,81652,-47536
2012-02-01,Goldman Sachs,CitiBank New York,35738,84138,-48400
2012-03-01,Goldman Sachs,CitiBank New York,34961,89369,-54408
2012-04-01,Goldman Sachs,CitiBank New York,31658,87144,-55486
2012-05-01,Goldman Sachs,CitiBank New York,36669,82327,-45658
2012-06-01,Goldman Sachs,CitiBank New York,38673,86748,-48075
2012-07-01,Goldman Sachs,CitiBank New York,45139,82261,-37122
2012-08-01,Goldman Sachs,CitiBank New York,43551,86778,-43227
2012-09-01,Goldman Sachs,CitiBank New York,41721,85333,-43612
2012-10-01,Goldman Sachs,CitiBank New York,47765,83926,-36161
2012-11-01,Goldman Sachs,CitiBank New York,43935,89652,-45717
2012-12-01,Goldman Sachs,CitiBank New York,44965,87531,-42566
2013-01-01,Goldman Sachs,CitiBank New York,44346,87193,-42847
2013-02-01,Goldman Sachs,CitiBank New York,44287,85173,-40886
2013-03-01,Goldman Sachs,CitiBank New York,48262,86366,-38104
2013-04-01,Goldman Sachs,CitiBank New York,41911,82248,-40337
2013-05-01,Goldman Sachs,CitiBank New York,59329,77736,-18407
2013-06-01,Goldman Sachs,CitiBank New York,51969,76769,-24800
2013-07-01,Goldman Sachs,CitiBank New York,57892,75637,-17745
2013-08-01,Goldman Sachs,CitiBank New York,58185,77656,-19471
2013-09-01,Goldman Sachs,CitiBank New York,56515,74329,-17814
2013-10-01,Goldman Sachs,CitiBank New York,53284,75737,-22453
2013-11-01,Goldman Sachs,CitiBank New York,53429,72199,-18770
2013-12-01,Goldman Sachs,CitiBank New York,57253,79423,-22170
2014-01-01,Goldman Sachs,CitiBank New York,57386,72442,-15056
2014-02-01,Goldman Sachs,CitiBank New York,55519,76924,-21405
2014-03-01,Goldman Sachs,CitiBank New York,63814,78561,-14747
2014-04-01,Goldman Sachs,CitiBank New York,64168,73879,-9711
2014-05-01,Goldman Sachs,CitiBank New York,68844,76433,-7589
2014-06-01,Goldman Sachs,CitiBank New York,69199,75851,-6652
2014-07-01,Goldman Sachs,CitiBank New York,64547,72812,-8265
2014-08-01,Goldman Sachs,CitiBank New York,67265,74188,-6923
2014-09-01,Goldman Sachs,CitiBank New York,61284,71291,-10007
2014-10-01,Goldman Sachs,CitiBank New York,65789,78245,-12456
2014-11-01,Goldman Sachs,CitiBank New York,63253,74829,-11576
2014-12-01,Goldman Sachs,CitiBank New York,67635,72211,-4576
2015-01-01,Goldman Sachs,CitiBank New York,72922,63672,9250
2015-02-01,Goldman Sachs,CitiBank New York,79966,61681,18285
2015-03-01,Goldman Sachs,CitiBank New York,77252,65471,11781
2015-04-01,Goldman Sachs,CitiBank New York,79183,64417,14766
2015-05-01,Goldman Sachs,CitiBank New York,79745,65971,13774
2015-06-01,Goldman Sachs,CitiBank New York,71622,63635,7987
2015-07-01,Goldman Sachs,CitiBank New York,72427,61662,10765
2015-08-01,Goldman Sachs,CitiBank New York,79419,68143,11276
2015-09-01,Goldman Sachs,CitiBank New York,79899,69281,10618
2015-10-01,Goldman Sachs,CitiBank New York,79182,62842,16340
2015-11-01,Goldman Sachs,CitiBank New York,88458,66281,22177
2015-12-01,Goldman Sachs,CitiBank New York,88754,69653,19101
2016-01-01,Goldman Sachs,CitiBank New York,82851,64922,17929
2016-02-01,Goldman Sachs,CitiBank New York,81684,64784,16900
2016-03-01,Goldman Sachs,CitiBank New York,84263,68411,15852
2016-04-01,Goldman Sachs,CitiBank New York,87948,61614,26334
2016-05-01,Goldman Sachs,CitiBank New York,83167,66349,16818
2016-06-01,Goldman Sachs,CitiBank New York,88849,65621,23228
2016-07-01,Goldman Sachs,CitiBank New York,82289,68962,13327
2016-08-01,Goldman Sachs,CitiBank New York,83964,64511,19453
2016-09-01,Goldman Sachs,CitiBank New York,94539,55127,39412
2016-10-01,Goldman Sachs,CitiBank New York,97681,55711,41970
2016-11-01,Goldman Sachs,CitiBank New York,94582,57633,36949
2016-12-01,Goldman Sachs,CitiBank New York,94922,54682,40240
2017-01-01,Goldman Sachs,CitiBank New York,99344,51394,47950
2017-02-01,Goldman Sachs,CitiBank New York,93989,59853,34136
2017-03-01,Goldman Sachs,CitiBank New York,97379,55479,41900
2017-04-01,Goldman Sachs,CitiBank New York,93374,52371,41003
2017-05-01,Goldman Sachs,CitiBank New York,93551,53344,40207
2017-06-01,Goldman Sachs,CitiBank New York,92398,58849,33549
2017-07-01,Goldman Sachs,CitiBank New York,105381,51824,53557
2017-08-01,Goldman Sachs,CitiBank New York,108678,53126,55552
2017-09-01,Goldman Sachs,CitiBank New York,101496,52975,48521
2017-10-01,Goldman Sachs,CitiBank New York,103518,53686,49832
2017-11-01,Goldman Sachs,CitiBank New York,101578,54276,47302
2017-12-01,Goldman Sachs,CitiBank New York,102992,52516,50476
2018-01-01,Goldman Sachs,CitiBank New York,105816,53834,51982
2018-02-01,Goldman Sachs,CitiBank New York,106333,52338,53995
2018-03-01,Goldman Sachs,CitiBank New York,104483,55435,49048
2018-04-01,Goldman Sachs,CitiBank New York,103194,59841,43353
2010-01-01,Goldman Sachs,CitiBank London,15397,92522,-77125
2010-02-01,Goldman Sachs,CitiBank London,18279,96741,-78462
2010-03-01,Goldman Sachs,CitiBank London,18786,97213,-78427
2010-04-01,Goldman Sachs,CitiBank London,15213,95863,-80650
2010-05-01,Goldman Sachs,CitiBank London,14225,94125,-79900
2010-06-01,Goldman Sachs,CitiBank London,13388,96548,-83160
2010-07-01,Goldman Sachs,CitiBank London,14827,97687,-82860
2010-08-01,Goldman Sachs,CitiBank London,13822,93963,-80141
2010-09-01,Goldman Sachs,CitiBank London,13461,97489,-84028
2010-10-01,Goldman Sachs,CitiBank London,16725,91222,-74497
2010-11-01,Goldman Sachs,CitiBank London,25316,93993,-68677
2010-12-01,Goldman Sachs,CitiBank London,28796,97855,-69059
2011-01-01,Goldman Sachs,CitiBank London,22362,97678,-75316
2011-02-01,Goldman Sachs,CitiBank London,25273,93539,-68266
2011-03-01,Goldman Sachs,CitiBank London,29492,91364,-61872
2011-04-01,Goldman Sachs,CitiBank London,21632,98979,-77347
2011-05-01,Goldman Sachs,CitiBank London,21963,99337,-77374
2011-06-01,Goldman Sachs,CitiBank London,23281,95789,-72508
2011-07-01,Goldman Sachs,CitiBank London,29758,99276,-69518
2011-08-01,Goldman Sachs,CitiBank London,28611,92358,-63747
2011-09-01,Goldman Sachs,CitiBank London,33452,86959,-53507
2011-10-01,Goldman Sachs,CitiBank London,37632,85257,-47625
2011-11-01,Goldman Sachs,CitiBank London,34199,85451,-51252
2011-12-01,Goldman Sachs,CitiBank London,37614,89431,-51817
2012-01-01,Goldman Sachs,CitiBank London,37443,88142,-50699
2012-02-01,Goldman Sachs,CitiBank London,37689,83264,-45575
2012-03-01,Goldman Sachs,CitiBank London,37911,88182,-50271
2012-04-01,Goldman Sachs,CitiBank London,39985,83273,-43288
2012-05-01,Goldman Sachs,CitiBank London,36229,81336,-45107
2012-06-01,Goldman Sachs,CitiBank London,39477,88397,-48920
2012-07-01,Goldman Sachs,CitiBank London,46313,87521,-41208
2012-08-01,Goldman Sachs,CitiBank London,43871,81514,-37643
2012-09-01,Goldman Sachs,CitiBank London,44318,81224,-36906
2012-10-01,Goldman Sachs,CitiBank London,47357,85175,-37818
2012-11-01,Goldman Sachs,CitiBank London,43188,85946,-42758
2012-12-01,Goldman Sachs,CitiBank London,41986,85444,-43458
2013-01-01,Goldman Sachs,CitiBank London,44579,87527,-42948
2013-02-01,Goldman Sachs,CitiBank London,43637,88595,-44958
2013-03-01,Goldman Sachs,CitiBank London,47642,83636,-35994
2013-04-01,Goldman Sachs,CitiBank London,47631,86919,-39288
2013-05-01,Goldman Sachs,CitiBank London,52235,73384,-21149
2013-06-01,Goldman Sachs,CitiBank London,51687,79412,-27725
2013-07-01,Goldman Sachs,CitiBank London,54476,72716,-18240
2013-08-01,Goldman Sachs,CitiBank London,59327,75385,-16058
2013-09-01,Goldman Sachs,CitiBank London,56533,76438,-19905
2013-10-01,Goldman Sachs,CitiBank London,53239,73499,-20260
2013-11-01,Goldman Sachs,CitiBank London,54593,77131,-22538
2013-12-01,Goldman Sachs,CitiBank London,59943,77628,-17685
2014-01-01,Goldman Sachs,CitiBank London,56686,78224,-21538
2014-02-01,Goldman Sachs,CitiBank London,51358,75477,-24119
2014-03-01,Goldman Sachs,CitiBank London,65465,77885,-12420
2014-04-01,Goldman Sachs,CitiBank London,62489,71896,-9407
2014-05-01,Goldman Sachs,CitiBank London,65854,72396,-6542
2014-06-01,Goldman Sachs,CitiBank London,62521,75594,-13073
2014-07-01,Goldman Sachs,CitiBank London,67149,77197,-10048
2014-08-01,Goldman Sachs,CitiBank London,67249,74235,-6986
2014-09-01,Goldman Sachs,CitiBank London,68386,73386,-5000
2014-10-01,Goldman Sachs,CitiBank London,68864,78931,-10067
2014-11-01,Goldman Sachs,CitiBank London,62155,77311,-15156
2014-12-01,Goldman Sachs,CitiBank London,66147,71116,-4969
2015-01-01,Goldman Sachs,CitiBank London,78815,61973,16842
2015-02-01,Goldman Sachs,CitiBank London,72619,66198,6421
2015-03-01,Goldman Sachs,CitiBank London,71961,62975,8986
2015-04-01,Goldman Sachs,CitiBank London,74245,66762,7483
2015-05-01,Goldman Sachs,CitiBank London,71642,64182,7460
2015-06-01,Goldman Sachs,CitiBank London,77448,68859,8589
2015-07-01,Goldman Sachs,CitiBank London,78147,69881,8266
2015-08-01,Goldman Sachs,CitiBank London,71348,69585,1763
2015-09-01,Goldman Sachs,CitiBank London,75887,62443,13444
2015-10-01,Goldman Sachs,CitiBank London,71549,63241,8308
2015-11-01,Goldman Sachs,CitiBank London,88162,68265,19897
2015-12-01,Goldman Sachs,CitiBank London,85113,63582,21531
2016-01-01,Goldman Sachs,CitiBank London,81714,68514,13200
2016-02-01,Goldman Sachs,CitiBank London,82148,68613,13535
2016-03-01,Goldman Sachs,CitiBank London,85649,67627,18022
2016-04-01,Goldman Sachs,CitiBank London,89843,69665,20178
2016-05-01,Goldman Sachs,CitiBank London,84984,64764,20220
2016-06-01,Goldman Sachs,CitiBank London,82347,69133,13214
2016-07-01,Goldman Sachs,CitiBank London,89554,67966,21588
2016-08-01,Goldman Sachs,CitiBank London,89535,65228,24307
2016-09-01,Goldman Sachs,CitiBank London,98386,55928,42458
2016-10-01,Goldman Sachs,CitiBank London,92921,53217,39704
2016-11-01,Goldman Sachs,CitiBank London,98381,55891,42490
2016-12-01,Goldman Sachs,CitiBank London,96267,56938,39329
2017-01-01,Goldman Sachs,CitiBank London,99595,55894,43701
2017-02-01,Goldman Sachs,CitiBank London,93393,58953,34440
2017-03-01,Goldman Sachs,CitiBank London,93664,52126,41538
2017-04-01,Goldman Sachs,CitiBank London,94624,53631,40993
2017-05-01,Goldman Sachs,CitiBank London,94685,51516,43169
2017-06-01,Goldman Sachs,CitiBank London,99315,55882,43433
2017-07-01,Goldman Sachs,CitiBank London,101884,52482,49402
2017-08-01,Goldman Sachs,CitiBank London,102622,55384,47238
2017-09-01,Goldman Sachs,CitiBank London,103352,58777,44575
2017-10-01,Goldman Sachs,CitiBank London,105429,58774,46655
2017-11-01,Goldman Sachs,CitiBank London,105868,57378,48490
2017-12-01,Goldman Sachs,CitiBank London,104129,53977,50152
2018-01-01,Goldman Sachs,CitiBank London,109388,59489,49899
2018-02-01,Goldman Sachs,CitiBank London,106691,56589,50102
2018-03-01,Goldman Sachs,CitiBank London,105553,56422,49131
2018-04-01,Goldman Sachs,CitiBank London,108868,55677,53191
2010-01-01,Goldman Sachs,CitiBank Pune,16323,99267,-82944
2010-02-01,Goldman Sachs,CitiBank Pune,11879,91652,-79773
2010-03-01,Goldman Sachs,CitiBank Pune,12124,92662,-80538
2010-04-01,Goldman Sachs,CitiBank Pune,16445,93146,-76701
2010-05-01,Goldman Sachs,CitiBank Pune,11748,91653,-79905
2010-06-01,Goldman Sachs,CitiBank Pune,17128,95376,-78248
2010-07-01,Goldman Sachs,CitiBank Pune,18763,96791,-78028
2010-08-01,Goldman Sachs,CitiBank Pune,12348,91966,-79618
2010-09-01,Goldman Sachs,CitiBank Pune,15451,98577,-83126
2010-10-01,Goldman Sachs,CitiBank Pune,14469,99244,-84775
2010-11-01,Goldman Sachs,CitiBank Pune,21464,94384,-72920
2010-12-01,Goldman Sachs,CitiBank Pune,21782,91875,-70093
2011-01-01,Goldman Sachs,CitiBank Pune,29278,92341,-63063
2011-02-01,Goldman Sachs,CitiBank Pune,26134,92411,-66277
2011-03-01,Goldman Sachs,CitiBank Pune,21747,99853,-78106
2011-04-01,Goldman Sachs,CitiBank Pune,25217,95591,-70374
2011-05-01,Goldman Sachs,CitiBank Pune,25119,94553,-69434
2011-06-01,Goldman Sachs,CitiBank Pune,27611,91896,-64285
2011-07-01,Goldman Sachs,CitiBank Pune,22896,93787,-70891
2011-08-01,Goldman Sachs,CitiBank Pune,24893,98844,-73951
2011-09-01,Goldman Sachs,CitiBank Pune,37642,82671,-45029
2011-10-01,Goldman Sachs,CitiBank Pune,32691,84349,-51658
2011-11-01,Goldman Sachs,CitiBank Pune,31453,86244,-54791
2011-12-01,Goldman Sachs,CitiBank Pune,35356,89585,-54229
2012-01-01,Goldman Sachs,CitiBank Pune,31881,86212,-54331
2012-02-01,Goldman Sachs,CitiBank Pune,33868,87963,-54095
2012-03-01,Goldman Sachs,CitiBank Pune,37293,89285,-51992
2012-04-01,Goldman Sachs,CitiBank Pune,35521,88714,-53193
2012-05-01,Goldman Sachs,CitiBank Pune,32248,85914,-53666
2012-06-01,Goldman Sachs,CitiBank Pune,34424,83626,-49202
2012-07-01,Goldman Sachs,CitiBank Pune,44783,83337,-38554
2012-08-01,Goldman Sachs,CitiBank Pune,46759,86781,-40022
2012-09-01,Goldman Sachs,CitiBank Pune,43999,88565,-44566
2012-10-01,Goldman Sachs,CitiBank Pune,44347,85237,-40890
2012-11-01,Goldman Sachs,CitiBank Pune,47964,85314,-37350
2012-12-01,Goldman Sachs,CitiBank Pune,47129,85657,-38528
2013-01-01,Goldman Sachs,CitiBank Pune,47365,81247,-33882
2013-02-01,Goldman Sachs,CitiBank Pune,49617,86667,-37050
2013-03-01,Goldman Sachs,CitiBank Pune,41857,87887,-46030
2013-04-01,Goldman Sachs,CitiBank Pune,45724,85131,-39407
2013-05-01,Goldman Sachs,CitiBank Pune,51897,76253,-24356
2013-06-01,Goldman Sachs,CitiBank Pune,57577,71525,-13948
2013-07-01,Goldman Sachs,CitiBank Pune,52119,73211,-21092
2013-08-01,Goldman Sachs,CitiBank Pune,57958,75378,-17420
2013-09-01,Goldman Sachs,CitiBank Pune,57897,75782,-17885
2013-10-01,Goldman Sachs,CitiBank Pune,59485,71435,-11950
2013-11-01,Goldman Sachs,CitiBank Pune,52654,75858,-23204
2013-12-01,Goldman Sachs,CitiBank Pune,59783,74259,-14476
2014-01-01,Goldman Sachs,CitiBank Pune,51245,79761,-28516
2014-02-01,Goldman Sachs,CitiBank Pune,59355,74869,-15514
2014-03-01,Goldman Sachs,CitiBank Pune,62845,78167,-15322
2014-04-01,Goldman Sachs,CitiBank Pune,65791,78178,-12387
2014-05-01,Goldman Sachs,CitiBank Pune,64642,74722,-10080
2014-06-01,Goldman Sachs,CitiBank Pune,67965,72155,-4190
2014-07-01,Goldman Sachs,CitiBank Pune,69847,76715,-6868
2014-08-01,Goldman Sachs,CitiBank Pune,63545,73745,-10200
2014-09-01,Goldman Sachs,CitiBank Pune,62159,74625,-12466
2014-10-01,Goldman Sachs,CitiBank Pune,62895,77946,-15051
2014-11-01,Goldman Sachs,CitiBank Pune,65611,78236,-12625
2014-12-01,Goldman Sachs,CitiBank Pune,65787,77383,-11596
2015-01-01,Goldman Sachs,CitiBank Pune,76463,61361,15102
2015-02-01,Goldman Sachs,CitiBank Pune,73396,64542,8854
2015-03-01,Goldman Sachs,CitiBank Pune,73167,69483,3684
2015-04-01,Goldman Sachs,CitiBank Pune,77341,61558,15783
2015-05-01,Goldman Sachs,CitiBank Pune,72924,68191,4733
2015-06-01,Goldman Sachs,CitiBank Pune,72846,63961,8885
2015-07-01,Goldman Sachs,CitiBank Pune,78489,69886,8603
2015-08-01,Goldman Sachs,CitiBank Pune,73813,64371,9442
2015-09-01,Goldman Sachs,CitiBank Pune,74734,63822,10912
2015-10-01,Goldman Sachs,CitiBank Pune,73276,65243,8033
2015-11-01,Goldman Sachs,CitiBank Pune,84981,65223,19758
2015-12-01,Goldman Sachs,CitiBank Pune,87535,63687,23848
2016-01-01,Goldman Sachs,CitiBank Pune,86657,65247,21410
2016-02-01,Goldman Sachs,CitiBank Pune,89529,62587,26942
2016-03-01,Goldman Sachs,CitiBank Pune,85479,69184,16295
2016-04-01,Goldman Sachs,CitiBank Pune,82985,65323,17662
2016-05-01,Goldman Sachs,CitiBank Pune,84625,61921,22704
2016-06-01,Goldman Sachs,CitiBank Pune,82955,63929,19026
2016-07-01,Goldman Sachs,CitiBank Pune,82863,63887,18976
2016-08-01,Goldman Sachs,CitiBank Pune,81128,66946,14182
2016-09-01,Goldman Sachs,CitiBank Pune,99249,58397,40852
2016-10-01,Goldman Sachs,CitiBank Pune,91949,52557,39392
2016-11-01,Goldman Sachs,CitiBank Pune,93268,58938,34330
2016-12-01,Goldman Sachs,CitiBank Pune,92569,55733,36836
2017-01-01,Goldman Sachs,CitiBank Pune,91577,52139,39438
2017-02-01,Goldman Sachs,CitiBank Pune,94977,58381,36596
2017-03-01,Goldman Sachs,CitiBank Pune,93774,54856,38918
2017-04-01,Goldman Sachs,CitiBank Pune,98469,52624,45845
2017-05-01,Goldman Sachs,CitiBank Pune,92318,56264,36054
2017-06-01,Goldman Sachs,CitiBank Pune,99566,51331,48235
2017-07-01,Goldman Sachs,CitiBank Pune,102563,52852,49711
2017-08-01,Goldman Sachs,CitiBank Pune,104243,53578,50665
2017-09-01,Goldman Sachs,CitiBank Pune,102191,52437,49754
2017-10-01,Goldman Sachs,CitiBank Pune,105491,52341,53150
2017-11-01,Goldman Sachs,CitiBank Pune,104274,53136,51138
2017-12-01,Goldman Sachs,CitiBank Pune,103598,54934,48664
2018-01-01,Goldman Sachs,CitiBank Pune,104694,55243,49451
2018-02-01,Goldman Sachs,CitiBank Pune,106186,51125,55061
2018-03-01,Goldman Sachs,CitiBank Pune,108824,55959,52865
2018-04-01,Goldman Sachs,CitiBank Pune,103643,52983,50660
2010-01-01,Goldman Sachs,CitiBank Singapore,17715,99215,-81500
2010-02-01,Goldman Sachs,CitiBank Singapore,19182,95937,-76755
2010-03-01,Goldman Sachs,CitiBank Singapore,18917,99888,-80971
2010-04-01,Goldman Sachs,CitiBank Singapore,14375,99177,-84802
2010-05-01,Goldman Sachs,CitiBank Singapore,15294,97235,-81941
2010-06-01,Goldman Sachs,CitiBank Singapore,18215,97252,-79037
2010-07-01,Goldman Sachs,CitiBank Singapore,17595,94661,-77066
2010-08-01,Goldman Sachs,CitiBank Singapore,15969,94542,-78573
2010-09-01,Goldman Sachs,CitiBank Singapore,19866,98821,-78955
2010-10-01,Goldman Sachs,CitiBank Singapore,12459,96351,-83892
2010-11-01,Goldman Sachs,CitiBank Singapore,28493,92465,-63972
2010-12-01,Goldman Sachs,CitiBank Singapore,21483,95524,-74041
2011-01-01,Goldman Sachs,CitiBank Singapore,21275,96945,-75670
2011-02-01,Goldman Sachs,CitiBank Singapore,28842,98993,-70151
2011-03-01,Goldman Sachs,CitiBank Singapore,21829,98581,-76752
2011-04-01,Goldman Sachs,CitiBank Singapore,29459,91873,-62414
2011-05-01,Goldman Sachs,CitiBank Singapore,27967,98858,-70891
2011-06-01,Goldman Sachs,CitiBank Singapore,23282,93737,-70455
2011-07-01,Goldman Sachs,CitiBank Singapore,28238,98925,-70687
2011-08-01,Goldman Sachs,CitiBank Singapore,28449,93922,-65473
2011-09-01,Goldman Sachs,CitiBank Singapore,38351,87735,-49384
2011-10-01,Goldman Sachs,CitiBank Singapore,35437,81743,-46306
2011-11-01,Goldman Sachs,CitiBank Singapore,33671,87944,-54273
2011-12-01,Goldman Sachs,CitiBank Singapore,35847,89744,-53897
2012-01-01,Goldman Sachs,CitiBank Singapore,32572,84283,-51711
2012-02-01,Goldman Sachs,CitiBank Singapore,32236,85499,-53263
2012-03-01,Goldman Sachs,CitiBank Singapore,39526,82371,-42845
2012-04-01,Goldman Sachs,CitiBank Singapore,31474,81666,-50192
2012-05-01,Goldman Sachs,CitiBank Singapore,32739,89679,-56940
2012-06-01,Goldman Sachs,CitiBank Singapore,33883,82111,-48228
2012-07-01,Goldman Sachs,CitiBank Singapore,49457,89746,-40289
2012-08-01,Goldman Sachs,CitiBank Singapore,46854,87522,-40668
2012-09-01,Goldman Sachs,CitiBank Singapore,47728,82164,-34436
2012-10-01,Goldman Sachs,CitiBank Singapore,46731,81324,-34593
2012-11-01,Goldman Sachs,CitiBank Singapore,47242,86887,-39645
2012-12-01,Goldman Sachs,CitiBank Singapore,43356,81615,-38259
2013-01-01,Goldman Sachs,CitiBank Singapore,49521,82744,-33223
2013-02-01,Goldman Sachs,CitiBank Singapore,41713,87845,-46132
2013-03-01,Goldman Sachs,CitiBank Singapore,49265,89315,-40050
2013-04-01,Goldman Sachs,CitiBank Singapore,49596,88917,-39321
2013-05-01,Goldman Sachs,CitiBank Singapore,54162,73382,-19220
2013-06-01,Goldman Sachs,CitiBank Singapore,55477,76572,-21095
2013-07-01,Goldman Sachs,CitiBank Singapore,59868,74818,-14950
2013-08-01,Goldman Sachs,CitiBank Singapore,51859,76136,-24277
2013-09-01,Goldman Sachs,CitiBank Singapore,57959,75828,-17869
2013-10-01,Goldman Sachs,CitiBank Singapore,53134,79279,-26145
2013-11-01,Goldman Sachs,CitiBank Singapore,59424,73849,-14425
2013-12-01,Goldman Sachs,CitiBank Singapore,59584,73441,-13857
2014-01-01,Goldman Sachs,CitiBank Singapore,57675,74838,-17163
2014-02-01,Goldman Sachs,CitiBank Singapore,57937,77542,-19605
2014-03-01,Goldman Sachs,CitiBank Singapore,63651,79876,-16225
2014-04-01,Goldman Sachs,CitiBank Singapore,66813,73373,-6560
2014-05-01,Goldman Sachs,CitiBank Singapore,63233,76542,-13309
2014-06-01,Goldman Sachs,CitiBank Singapore,63297,72792,-9495
2014-07-01,Goldman Sachs,CitiBank Singapore,63638,76322,-12684
